TaxonName	Longevity_(days)	Length_(cm)	Weight_(kg)
Bger	5.298317366548036	0.26236426446749106	-9.161550207806751
Csec	7.845807502637805	NaN	NaN
Znev	7.4891325586990725	NaN	NaN
Apis	3.4011973816621555	-0.6931471805599453	-13.345506928718539
Clec	5.8998973535824915	-0.35667494393873245	NaN
Hhal	4.672828834461906	0.36464311358790924	NaN
Aros	3.044522437723423	-0.35667494393873245	NaN
Ccin	1.3862943611198906	0.0	NaN
Oabi	NaN	-2.3025850929940455	NaN
Nvit	3.5553480614894135	-1.203972804325936	NaN
Tpre	1.3862943611198906	-3.2188758248682006	NaN
Hsal	6.48768401848461	0.5306282510621705	NaN
Lhum	5.8998973535824915	-0.5108256237659905	NaN
Cflo	8.202482446576537	0.6418538861723947	NaN
Pbar	9.301094735244646	0.1823215567939546	NaN
Pdom	NaN	0.6931471805599453	NaN
Sinv	7.691656822810547	-0.35667494393873245	NaN
Aech	8.607947554684701	0.3364722366212129	NaN
Acep	8.607947554684701	0.47000362924573563	NaN
Dnov	NaN	0.5306282510621705	NaN
Mrot	3.5553480614894135	0.0	NaN
Hlab	NaN	0.47000362924573563	NaN
Emex	NaN	0.5877866649021191	NaN
Amel	7.286191714702382	0.6931471805599453	NaN
Aflo	7.286191714702382	0.47000362924573563	NaN
Acer	7.286191714702382	0.5306282510621705	NaN
Mqua	6.9985096422506015	0.0	NaN
Bter	4.836281906951478	0.7884573603642703	NaN
Otau	4.499809670330265	-0.10536051565782628	NaN
Tcas	5.480638923341991	-0.916290731874155	NaN
Dpon	5.8998973535824915	-0.6931471805599453	NaN
Agla	4.189654742026425	1.252762968495368	NaN
Ldec	5.8998973535824915	0.0	NaN
Pxyl	3.828641396489095	-0.5108256237659905	NaN
Bmor	3.912023005428146	0.6931471805599453	NaN
Dple	5.3471075307174685	1.2198461534822262	NaN
Aaeg	3.044522437723423	-1.3862943611198906	NaN
Cqui	4.02535169073515	-0.916290731874155	NaN
Agam	3.091042453358316	-1.2729656758128873	-15.01948336229021
Dgri	3.912023005428146	-0.6931471805599453	NaN
Dmel	4.0943445622221	-1.203972804325936	NaN
Dsuz	3.912023005428146	-1.1086626245216111	NaN
Ccap	4.0943445622221	-0.6931471805599453	NaN
Lcup	3.4657359027997265	-0.10536051565782628	NaN
Mdom	3.2188758248682006	-0.35667494393873245	NaN
